Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
183 Grill Austin Gyros,78729,1/28/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
6M Grocery,78652,4/27/2015,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
7 Eleven # 32248,78717,2/8/2016,80,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven #36575,78660,1/23/2017,96,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7-Eleven #36562H,78744,1/29/2015,78,"6422 S US 183 HWY SB
AUSTIN, TX 78744
",10874472,Routine Inspection
7-Eleven 36559H,78734,1/28/2015,89,"3636 N FM 620 RD
AUSTIN, TX 78734
",10874261,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,2/2/2015,100,"7002 N FM 620 RD
AUSTIN, TX 78732
",11066939,Routine Inspection
7-Eleven Convenience Store #36597A,78749,3/29/2016,99,"5445 W US 290 HWY EB
AUSTIN, TX 78749
",11087909,Routine Inspection
7-Eleven Convenience Store #36599A,78750,12/6/2016,95,"11613 N FM 620 RD
AUSTIN, TX 78750
",11522598,Routine Inspection
827 Ray's Kitchen + Cellar,78734,1/27/2017,83,"3519 N FM 620 RD
AUSTIN, TX 78734
",11523857,Routine Inspection
A+A Sichuan China,78750,1/18/2017,77,"13376 N US 183 HWY SB Unit 100
AUSTIN, TX 78750
",11426430,Routine Inspection
ABC's & 123's Infant and Child Care Cntr,78653,1/18/2017,94,"13419 E US 290 HWY EB
MANOR, TX 78653
",2802997,Routine Inspection
Alamo Drafthouse Cinema,78613,4/15/2015,92,"14028 N US 183 HWY SVRD SB Bldg F
AUSTIN, TX 78613
",10978489,Routine Inspection
Almarah Mediterranean Cuisine,78750,1/6/2016,97,"12129 N FM 620 RD Bunit 450
AUSTIN, TX 78750
",11359418,Routine Inspection
"Amy's Ice Creams, Inc",78729,1/6/2015,89,"13265 N US 183 HWY NB Unit C
AUSTIN, TX 78729
",11008921,Routine Inspection
"Angel Donuts & Treats, LLC",78726,1/27/2015,96,"8300 N FM 620 RD Bunit 200
AUSTIN, TX 78726
",10790411,Routine Inspection
Angel's Ice House,78669,1/20/2017,99,"21815 W SH 71
SPICEWOOD, TX 78669
",2802178,Routine Inspection
Apis Restaurant,78669,3/31/2016,98,"23526 W SH 71
SPICEWOOD, TX 78669
",11272878,Routine Inspection
Applebee's,78735,6/1/2015,94,"5010 W US 290 HWY WB
AUSTIN, TX 78735
",10870106,Routine Inspection
